isWon;countHitChances;countTokenInHome;countTokenInStart;countComingOut;turnCount
1;28;4;0;12;334
0;29;0;1;16;453
0;23;2;1;7;316
1;29;4;0;9;423
0;69;0;0;27;797
1;38;4;0;13;484
0;58;0;2;24;791
1;46;4;0;14;699
0;44;0;2;18;638
1;36;4;0;8;465
0;36;0;1;15;534
1;30;4;0;11;478
0;47;0;2;19;629
1;33;4;0;12;323
0;85;0;1;32;1055
1;48;4;0;11;581
0;72;0;3;29;1011
1;45;4;0;12;464
0;75;0;2;30;1027
1;37;4;0;11;345
0;46;0;1;16;495
1;52;4;0;15;680
0;55;0;3;21;555
1;29;4;0;9;336
0;55;0;2;21;772
0;24;1;0;11;354
0;25;2;1;6;255
1;27;4;0;8;292
0;106;0;3;43;1496
1;26;4;0;7;335
0;58;0;0;20;728
0;47;3;0;17;649
1;39;4;0;16;560
0;33;0;3;14;437
1;47;4;0;15;595
0;65;0;3;21;752
1;71;4;0;26;965
0;39;0;0;14;448
0;49;2;1;16;540
1;39;4;0;15;502
0;102;0;3;37;1143
0;39;2;1;14;475
1;36;4;0;13;443
0;70;0;2;31;970
0;24;3;0;9;421
1;56;4;0;21;679
0;51;0;0;21;667
1;53;4;0;14;646
0;22;0;3;11;368
0;56;3;0;19;922
1;34;4;0;10;457
0;48;0;0;17;543
0;30;2;1;11;383
1;53;4;0;17;637
0;87;0;3;28;970
0;27;3;0;9;378
0;63;3;0;24;900
1;45;4;0;12;546
0;39;0;3;16;610
0;48;1;2;21;612
1;48;4;0;14;516
0;66;0;3;26;789
1;36;4;0;10;522
0;50;0;3;18;950
1;28;4;0;8;401
0;56;0;0;20;609
1;41;4;0;15;723
0;75;0;2;29;985
1;54;4;0;17;690
0;76;0;3;29;922
1;44;4;0;12;560
0;40;0;0;18;717
1;22;4;0;5;394
0;55;0;1;23;794
0;41;2;0;14;448
0;45;3;0;16;565
1;33;4;0;11;533
0;58;0;0;21;692
1;47;4;0;14;545
0;51;0;3;22;683
1;27;4;0;9;327
0;48;0;3;21;672
1;41;4;0;10;584
0;43;0;2;19;655
1;35;4;0;8;401
0;59;0;3;25;662
1;40;4;0;12;613
0;72;0;1;32;1007
1;57;4;0;18;552
0;27;0;3;13;477
1;50;4;0;18;578
0;50;0;1;23;749
0;41;3;0;15;615
0;45;3;0;12;517
1;20;4;0;7;300
0;54;0;2;18;634
0;45;3;0;14;562
0;50;3;0;16;531
0;43;3;0;16;580
1;52;4;0;16;734
